Script|First_Line_Doc
otherxml.sql|No documentation found
otherxmlhints.sql|No documentation found
ou.sql|Listing Other Users objects where username matches %&1% and object matches %&2%
p.sql|No documentation found
paddr.sql|No documentation found
partkeys.sql|No documentation found
partmon.sql|No documentation found
partpruning.sql|No documentation found
pd.sql|No documentation found
pd2.sql|Show all parameters and session values from x$ksppi/x$ksppcv...
pdbs.sql|No documentation found
pdv.sql|No documentation found
peek.sql|prompt ---> oradebug peek 0x&1 64
peekloop.sql|prompt ---> oradebug peek 0x&1 64
pga.sql|Show PGA manager stats from V$PGASTAT
pgav.sql|No documentation found
pinfo.sql|No documentation found
pmem.sql|Purpose:     Show process memory usage breakdown - lookup by process SPID
pmem_detail.sql|Purpose:     Show process memory usage breakdown details - lookup by process SPID
pn.sql|Show all parameters and session values from x$ksppi/x$ksppcv...
pr.sql|No documentation found
prc.sql|No documentation found
prefetch.sql|Purpose:     Show KCB layer prefetch 
printtab2.sql|printtab2.sql: There seems to be an issue on Oracle 12c+
privgrants.sql|No documentation found
privgrants2.sql|No documentation found
privs.sql|No documentation found
privs2.sql|No documentation found
proc.sql|No documentation found
procid.sql|No documentation found
prq.sql|No documentation found
prr.sql|No documentation found
prs.sql|No documentation found
pv.sql|Show parameter which have value &1
pvalid.sql|Purpose:     Show valid parameter values from V$PARAMETER_VALID_VALUES
px.sql|Purpose:     Report Pararallel Execution SQL globally in a RAC instance
px2.sql|Show current Parallel Execution sessions in RAC cluster...
pxs.sql|Display Parallel Execution QC and slave sessions for QC &1....
pxtrace.sql|No documentation found
rac112.sql|No documentation found
reco.sql|No documentation found
reg.sql|Querying DBA_REGISTRY_HISTORY ...
repg.sql|No documentation found
repo.sql|No documentation found
repo2.sql|No documentation found
res.sql|Show reserved words matching %&1% from V$RESERVED_WORDS....
res2.sql|Show reserved words matching &1 from V$RESERVED_WORDS....
rman_archlogs.sql|No documentation found
roles.sql|No documentation found
rowcache.sql|Purpose:     Show parent rowcache entries mathcing an object name
rowcr.sql|No documentation found
rowid.sql|Show file, block, row numbers from rowid &1....
rowid_scan.sql|No documentation found
rs.sql|Purpose:     Display available Redo Strands
s.sql|Purpose:     Display current Session Wait and SQL_ID info (10g+)
saddr.sql|No documentation found
sample.sql|Purpose:     Sample any V$ view or X$ table and display aggregated results
sampleaddr.sql|Purpose:     High-frequency sampling of contents of a SGA memory address
saveset.sql|No documentation found
schedlat.sql|Purpose: List PSP0 process scheduling latency test results (where scheduling latency is not 0)
sdr.sql|ALTER SESSION SET "_serial_direct_read"=&1;
se.sql|No documentation found
sed.sql|No documentation found
sed2.sql|Show wait event descriptions matching &1...
sedn.sql|No documentation found
sedx.sql|No documentation found
seg.sql|No documentation found
seg2.sql|No documentation found
segcached.sql|Display number of buffered blocks of a segment using X$KCBOQH for table &1
segcachedx.sql|Display number of buffered blocks of a segment using X$KCBOQH for table &1
segeof.sql|No documentation found
segext.sql|No documentation found
segext2.sql|No documentation found
segstat.sql|No documentation found
segstat2.sql|No documentation found
segstatint.sql|No documentation found
segsum.sql|No documentation found
sel.sql|No documentation found
select.sql|No documentation found
seq.sql|No documentation found
seq2.sql|No documentation found
ses.sql|Purpose:     Display Session statistics for given sessions, filter by
ses2.sql|Purpose:     Display Session statistics for given sessions, filter by
sesopt.sql|Show compilation environment of session &1 parameter &2
sest.sql|No documentation found
set.sql|Show SEssion Time model values for SID &1....
sga.sql|Show instance memory usage breakdown from v$memory_dynamic_components
sgai.sql|No documentation found
sgares.sql|No documentation found
sgastat.sql|No documentation found
sgastatx.sql|Purpose:     Show shared pool stats by sub-pool from X$KSMSS
sgav.sql|No documentation found
sh.sql|No documentation found
sid.sql|No documentation found
sinfo.sql|No documentation found
sl.sql|alter session set statistics_level = &1;;
sleep.sql|No documentation found
sm.sql|No documentation found
smem.sql|Purpose:     Show process memory usage breakdown - lookup by session ID
smem_detail.sql|Purpose:     Show process memory usage breakdown details - lookup by session ID
sn.sql|@snapper all &1 1 "&2"
snapcpu.sql|Taking a &1 second snapshot...
snapio.sql|Taking a &1 second snapshot...
snaplio.sql|Taking a &1 second snapshot...
snapnet.sql|Taking a &1 second snapshot...
snapper.sql|Purpose:     An easy to use Oracle session-level performance measurement tool
snapper3.sql|Purpose:     An easy to use Oracle session-level performance measurement tool
snapper_v1.sql|Purpose:     An easy to use Oracle session-level performance snapshot utility
snapper_v2.sql|Purpose:     An easy to use Oracle session-level performance snapshot utility
snapperloop.sql|No documentation found
snappio.sql|Taking a &1 second snapshot...
snappiomb.sql|Taking a &1 second snapshot...
snapredo.sql|Taking a &1 second snapshot...
snapsys.sql|No documentation found
snaptime.sql|Taking a &1 second snapshot...
snapundo.sql|Taking a &1 second snapshot...
